Timestamp,DeviceID,Temp,Humi
2026-03-13 17:12:26,2,24.1,95.1
2026-03-13 17:12:26,3,23.9,49.8
2026-03-13 17:12:26,1,24.1,68.2
2026-03-13 17:12:26,2,24.1,95.1
2026-03-13 17:12:26,3,23.9,49.6
2026-03-13 17:12:26,1,24,67.9
2026-03-13 17:12:26,2,24.1,95
2026-03-13 17:12:26,3,23.9,49.5
2026-03-13 17:12:27,1,24.1,67.7
2026-03-13 17:12:27,2,24.1,94.9
2026-03-13 17:12:27,3,23.9,49.5
2026-03-13 17:12:27,1,24,67.3
2026-03-13 17:12:27,2,24.1,94.8
2026-03-13 17:12:27,3,23.9,49.3
2026-03-13 17:12:27,1,24.1,67
2026-03-13 17:12:27,2,24.1,94.8
2026-03-13 17:12:27,3,23.9,49.2
2026-03-13 17:12:27,1,24.1,66.8
2026-03-13 17:12:28,2,24.1,94.7
2026-03-13 17:12:28,3,23.9,49.2
2026-03-13 17:12:28,1,24.1,66.5
2026-03-13 17:12:28,2,24.1,94.6
2026-03-13 17:12:28,3,23.9,49.1
2026-03-13 17:12:28,1,24.1,66.2
2026-03-13 17:12:28,2,24.1,94.5
2026-03-13 17:12:28,3,23.9,49
2026-03-13 17:12:28,1,24,65.9
2026-03-13 17:12:28,2,24.1,94.3
2026-03-13 17:12:29,3,23.9,48.9
2026-03-13 17:12:29,1,24,65.5
2026-03-13 17:12:29,2,24.1,94.1
2026-03-13 17:12:29,3,23.9,48.9
2026-03-13 17:12:29,1,24,65.2
2026-03-13 17:12:29,2,24.1,93.9
2026-03-13 17:12:29,3,23.9,48.7
2026-03-13 17:12:29,1,24,65
2026-03-13 17:12:29,2,24.1,93.8
2026-03-13 17:12:29,3,23.9,48.7
2026-03-13 17:12:30,1,24.1,64.8
2026-03-13 17:12:30,2,24.1,93.5
2026-03-13 17:12:30,3,23.9,48.6
2026-03-13 17:12:30,1,24.1,64.5
2026-03-13 17:12:30,2,24.1,93.3
2026-03-13 17:12:30,3,23.9,48.5
2026-03-13 17:12:30,1,24,64.2
2026-03-13 17:12:30,2,24.1,93.1
2026-03-13 17:12:30,3,23.9,48.5
2026-03-13 17:12:30,1,24,63.9
2026-03-13 17:12:31,2,24.1,92.7
2026-03-13 17:12:31,3,23.9,48.4
2026-03-13 17:12:31,1,24,63.6
2026-03-13 17:12:31,2,24.1,92.3
2026-03-13 17:12:31,3,23.9,48.3
2026-03-13 17:12:31,1,24,63.4
2026-03-13 17:12:31,2,24.1,91.9
2026-03-13 17:12:31,3,23.9,48.2
2026-03-13 17:12:31,1,24,63.2
2026-03-13 17:12:31,2,24.1,91.5
2026-03-13 17:12:32,3,23.9,48.2
2026-03-13 17:12:32,1,24,62.9
2026-03-13 17:12:32,2,24.1,91.1
2026-03-13 17:12:32,3,23.9,48.1
2026-03-13 17:12:32,1,24,62.6
2026-03-13 17:12:32,2,24,90.8
2026-03-13 17:12:32,3,23.9,48.1
2026-03-13 17:12:32,1,24,62.3
2026-03-13 17:12:32,2,24.1,90.2
2026-03-13 17:12:32,3,23.9,48
2026-03-13 17:12:33,1,24.1,62
2026-03-13 17:12:33,2,24,89.8
2026-03-13 17:12:33,3,23.9,48
2026-03-13 17:12:33,1,24,61.9
2026-03-13 17:12:33,2,24.1,89.3
2026-03-13 17:12:33,3,23.9,47.9
2026-03-13 17:12:33,1,24,61.6
2026-03-13 17:12:33,2,24,88.8
2026-03-13 17:12:33,3,23.9,47.9
2026-03-13 17:12:33,1,24,61.3
2026-03-13 17:12:34,2,24,88.3
2026-03-13 17:12:34,3,23.9,47.8
2026-03-13 17:12:34,1,24,61
