Timestamp,DeviceID,Temp,Humi
2026-03-12 17:12:01,1,24.5,43.8
2026-03-12 17:12:02,2,24.5,47.1
2026-03-12 17:12:03,3,24.5,46.5
2026-03-12 17:12:04,1,24.5,43.8
2026-03-12 17:12:05,2,24.4,47.1
2026-03-12 17:12:06,3,24.5,46.5
2026-03-12 17:12:07,1,24.6,43.7
2026-03-12 17:12:08,2,24.4,47.1
2026-03-12 17:12:09,3,24.5,46.5
2026-03-12 17:12:10,1,24.6,43.7
2026-03-12 17:12:11,2,24.4,47.1
2026-03-12 17:12:12,3,24.5,46.4
2026-03-12 17:12:13,1,24.6,43.7
2026-03-12 17:12:14,2,24.4,47.1
2026-03-12 17:12:15,3,24.5,46.4
2026-03-12 17:12:16,1,24.6,43.7
2026-03-12 17:12:17,2,24.4,47.1
2026-03-12 17:12:18,3,24.5,46.4
2026-03-12 17:12:19,1,24.5,43.7
2026-03-12 17:12:20,2,24.4,47.1
2026-03-12 17:12:21,3,24.5,46.4
2026-03-12 17:12:22,1,24.5,43.8
2026-03-12 17:12:23,2,24.4,47
2026-03-12 17:12:24,3,24.5,46.4
2026-03-12 17:12:25,1,24.5,43.8
2026-03-12 17:12:26,2,24.4,47.1
2026-03-12 17:12:27,3,24.5,46.4
2026-03-12 17:12:28,1,24.6,43.7
